index,Region of Country,Code,Year,"Outbound mobility ratio, all regions, both sexes (%)"
0,Afghanistan,AFG,2003,11.82518959
1,Afghanistan,AFG,2004,11.48184013
2,Afghanistan,AFG,2009,5.825079918
3,Afghanistan,AFG,2011,9.67016983
4,Albania,ALB,1998,12.80152035
5,Albania,ALB,1999,12.16819954
6,Albania,ALB,2000,14.52105045
7,Albania,ALB,2001,18.0767498
8,Albania,ALB,2002,20.41757011
9,Albania,ALB,2003,26.31966972
10,Albania,ALB,2004,25.73855972
11,Albania,ALB,2005,24.09235954
12,Albania,ALB,2006,23.3657093
13,Albania,ALB,2007,22.9437809
14,Albania,ALB,2008,23.17227936
15,Albania,ALB,2009,24.40810966
16,Albania,ALB,2010,19.4668808
17,Albania,ALB,2011,18.87867928
18,Albania,ALB,2012,15.21391964
19,Albania,ALB,2013,13.95567989
20,Algeria,DZA,1999,3.837340117
21,Algeria,DZA,2001,2.817549944
22,Algeria,DZA,2002,2.758160114
23,Algeria,DZA,2003,3.117389917
24,Algeria,DZA,2004,3.442810059
25,Algeria,DZA,2005,3.126970053
26,Algeria,DZA,2006,3.057909966
27,Algeria,DZA,2007,2.558559895
28,Algeria,DZA,2009,1.95923996
29,Algeria,DZA,2010,1.996909976
30,Algeria,DZA,2011,2.01602006
31,Algeria,DZA,2012,2.040930033
32,Algeria,DZA,2013,1.652230024
33,Andorra,AND,2002,267.2284546
34,Andorra,AND,2003,293.1372375
35,Andorra,AND,2004,369.7885132
36,Andorra,AND,2005,317.2368469
37,Andorra,AND,2006,76.03491211
38,Andorra,AND,2008,261.350769
39,Andorra,AND,2012,267.4134521
40,Andorra,AND,2013,218.8552856
41,Angola,AGO,1998,62.28858948
42,Angola,AGO,1999,68.10707092
43,Angola,AGO,2002,48.16569138
44,Angola,AGO,2003,14.19110012
45,Angola,AGO,2004,18.71170044
46,Angola,AGO,2005,16.64452934
47,Angola,AGO,2006,16.97879028
48,Angola,AGO,2011,5.633409977
49,Angola,AGO,2013,3.17640996
50,Antigua and Barbuda,ATG,2009,64.86660004
51,Antigua and Barbuda,ATG,2010,56.58119965
52,Antigua and Barbuda,ATG,2011,58.73696136
53,Antigua and Barbuda,ATG,2012,30.99888039
54,Arab World,,1997,4.122849941
55,Arab World,,1998,3.789259911
56,Arab World,,1999,3.432699919
57,Arab World,,2000,3.453030109
58,Arab World,,2001,3.387710094
59,Arab World,,2002,3.470720053
60,Arab World,,2003,3.589570045
61,Arab World,,2004,3.35510993
62,Arab World,,2005,3.19501996
63,Arab World,,2006,3.136430025
64,Arab World,,2007,3.043179989
65,Arab World,,2008,3.074779987
66,Arab World,,2009,3.14963007
67,Arab World,,2010,3.216350079
68,Arab World,,2011,3.492460012
69,Arab World,,2012,3.586930037
70,Arab World,,2013,3.634860039
71,Argentina,ARG,1998,0.37450999
72,Argentina,ARG,1999,0.366169989
73,Argentina,ARG,2000,0.389759988
74,Argentina,ARG,2001,0.358319998
